"Time","afname","injectie","batterij","voertuig","prijs"
"Wed May 24 00:05:00 CEST 2023","0.0135","0.0","2.0","60.0","83.0"
"Wed May 24 00:10:00 CEST 2023","0.0135","0.0","2.0","60.0","83.0"
"Wed May 24 00:15:00 CEST 2023","0.0135","0.0","2.0","60.0","83.0"
"Wed May 24 00:20:00 CEST 2023","0.013","0.0","2.0","60.0","83.0"
"Wed May 24 00:25:00 CEST 2023","0.013","0.0","2.0","60.0","83.0"
"Wed May 24 00:30:00 CEST 2023","0.013","0.0","2.0","60.0","83.0"
"Wed May 24 00:35:00 CEST 2023","0.009083333","0.0","2.0","60.0","83.0"
"Wed May 24 00:40:00 CEST 2023","0.009083333","0.0","2.0","60.0","83.0"
"Wed May 24 00:45:00 CEST 2023","0.009083333","0.0","2.0","60.0","83.0"
"Wed May 24 00:50:00 CEST 2023","0.009166667","0.0","2.0","60.0","83.0"
"Wed May 24 00:55:00 CEST 2023","0.009166667","0.0","2.0","60.0","83.0"
"Wed May 24 01:00:00 CEST 2023","0.009166667","0.0","2.0","60.0","76.09"
"Wed May 24 01:05:00 CEST 2023","0.01","0.0","2.0","60.0","76.09"
"Wed May 24 01:11:00 CEST 2023","0.011","0.0","2.0","60.0","76.09"
"Wed May 24 01:16:00 CEST 2023","0.01","0.0","2.0","60.0","76.09"
"Wed May 24 01:21:00 CEST 2023","0.016166667","0.0","2.0","60.0","76.09"
"Wed May 24 01:26:00 CEST 2023","0.016166667","0.0","2.0","60.0","76.09"
"Wed May 24 01:31:00 CEST 2023","0.016166667","0.0","2.0","60.0","76.09"
"Wed May 24 01:36:00 CEST 2023","0.015416667","0.0","2.0","60.0","76.09"
"Wed May 24 01:41:00 CEST 2023","0.015416667","0.0","2.0","60.0","76.09"
"Wed May 24 01:46:00 CEST 2023","0.015416667","0.0","2.0","60.0","76.09"
"Wed May 24 01:51:00 CEST 2023","0.00925","0.0","2.0","60.0","76.09"
"Wed May 24 01:56:00 CEST 2023","0.00925","0.0","2.0","60.0","76.09"
"Wed May 24 02:01:00 CEST 2023","0.00925","0.0","2.0","60.0","75.13"
"Wed May 24 02:06:00 CEST 2023","0.0095","0.0","2.0","60.0","75.13"
"Wed May 24 02:11:00 CEST 2023","0.0095","0.0","2.0","60.0","75.13"
"Wed May 24 02:16:00 CEST 2023","0.0095","0.0","2.0","60.0","75.13"
"Wed May 24 02:22:00 CEST 2023","0.007333333","0.0","2.0","60.0","75.13"
"Wed May 24 02:27:00 CEST 2023","0.007333333","0.0","2.0","60.0","75.13"
"Wed May 24 02:32:00 CEST 2023","0.007333333","0.0","2.0","60.0","75.13"
"Wed May 24 02:37:00 CEST 2023","0.015","0.0","2.0","60.0","75.13"
"Wed May 24 02:42:00 CEST 2023","0.015","0.0","2.0","60.0","75.13"
"Wed May 24 02:47:00 CEST 2023","0.015","0.0","2.0","60.0","75.13"
"Wed May 24 02:52:00 CEST 2023","0.014666667","0.0","2.0","60.0","75.13"
"Wed May 24 02:57:00 CEST 2023","0.014666667","0.0","2.0","60.0","75.13"
"Wed May 24 03:02:00 CEST 2023","0.014666667","0.0","2.0","60.0","74.4"
"Wed May 24 03:07:00 CEST 2023","0.009416667","0.0","2.0","60.0","74.4"
"Wed May 24 03:12:00 CEST 2023","0.009416667","0.0","2.0","60.0","74.4"
"Wed May 24 03:17:00 CEST 2023","0.009416667","0.0","2.0","60.0","74.4"
"Wed May 24 03:22:00 CEST 2023","0.009416667","0.0","2.0","60.0","74.4"
"Wed May 24 03:28:00 CEST 2023","0.009416667","0.0","2.0","60.0","74.4"
"Wed May 24 03:33:00 CEST 2023","0.009416667","0.0","2.0","60.0","74.4"
"Wed May 24 03:38:00 CEST 2023","0.01025","0.0","2.0","60.0","74.4"
"Wed May 24 03:43:00 CEST 2023","0.00925","0.0","2.0","60.0","74.4"
"Wed May 24 03:48:00 CEST 2023","0.00925","0.0","2.0","60.0","74.4"
"Wed May 24 03:53:00 CEST 2023","0.014666667","0.0","2.0","60.0","74.4"
"Wed May 24 03:58:00 CEST 2023","0.014666667","0.0","2.0","60.0","74.4"
"Wed May 24 04:03:00 CEST 2023","0.014666667","0.0","2.0","60.0","75.62"
"Wed May 24 04:08:00 CEST 2023","0.014833333","0.0","2.0","60.0","75.62"
"Wed May 24 04:13:00 CEST 2023","0.014833333","0.0","2.0","60.0","75.62"
"Wed May 24 04:18:00 CEST 2023","0.014833333","0.0","2.0","60.0","75.62"
"Wed May 24 04:23:00 CEST 2023","0.008916667","0.0","2.0","60.0","75.62"
"Wed May 24 04:28:00 CEST 2023","0.008916667","0.0","2.0","60.0","75.62"
"Wed May 24 04:33:00 CEST 2023","0.008916667","0.0","2.0","60.0","75.62"
"Wed May 24 04:38:00 CEST 2023","0.008916667","0.0","2.0","60.0","75.62"
"Wed May 24 04:43:00 CEST 2023","0.008916667","0.0","2.0","60.0","75.62"
"Wed May 24 04:48:00 CEST 2023","0.008916667","0.0","2.0","60.0","75.62"
"Wed May 24 04:54:00 CEST 2023","0.01","0.0","2.0","60.0","75.62"
"Wed May 24 04:59:00 CEST 2023","0.009","0.0","2.0","60.0","75.62"
"Wed May 24 05:04:00 CEST 2023","0.009","0.0","2.0","60.0","79.72"
"Wed May 24 05:09:00 CEST 2023","0.0155","0.0","2.0","60.0","79.72"
"Wed May 24 05:14:00 CEST 2023","0.0155","0.0","2.0","60.0","79.72"
"Wed May 24 05:19:00 CEST 2023","0.0155","0.0","2.0","60.0","79.72"
"Wed May 24 05:24:00 CEST 2023","0.016083334","0.0","2.0","60.0","79.72"
"Wed May 24 05:29:00 CEST 2023","0.016083334","0.0","2.0","60.0","79.72"
"Wed May 24 05:34:00 CEST 2023","0.016083334","0.0","2.0","60.0","79.72"
